IdRegistro,Muestra,Champasgr,FinosBajo250um,FinosBajo500um,FinosBajo800um,FinosBajo1000um,PctChampas,PcFinosBajo250um,PcFinosBajo500um,PcFinosBajo800um,PcFinosBajo1000um,ChampasGr
REG-0012001,,,0.06,,,,,,,,,
REG-0012002,,,,,,,,,,,,
REG-0012003,,,,,,,,,,,,
REG-0012004,,,0.05,,,,,,,,,
REG-0012005,,,0.06,,,,,,,,,
REG-0012006,,,,,,,,,,,,
REG-0012007,,,,,,,,,,,,
REG-0012008,,,,,,,,,,,,
REG-0012009,,,,,,,,,,,,
REG-0012010,,,,,,,,,,,,
REG-0012011,,,,,,,,,,,,
REG-0012012,,,,,,,,,,,,
REG-0012013,,,0.04,,,,,,,,,
REG-0012014,,,0.06,,,,,,,,,
REG-0012015,,,,,,,,,,,,
REG-0012016,,,,,,,,,,,,
REG-0012017,,,,,,,,,,,,
REG-0012018,,,,,,,,,,,,
REG-0012019,,,,,,,,,,,,
REG-0012020,,,,,,,,,,,,
REG-0012021,,,,,,,,,,,,
REG-0012022,,,,,,,,,,,,
REG-0012023,,,,,,,,,,,,
REG-0012024,,,0.05,,,,,,,,,
REG-0012025,,,0.06,,,,,,,,,
REG-0012026,,,,,,,,,,,,
REG-0012027,,,,,,,,,,,,
REG-0012028,,,,,,,,,,,,
REG-0012029,,,,,,,,,,,,
REG-0012030,,,,,,,,,,,,
REG-0012031,,,,,,,,,,,,
REG-0012032,,,,,,,,,,,,
REG-0012033,,,,,,,,,,,,
REG-0012034,,,,,,,,,,,,
REG-0012035,,,,,,,,,,,,
REG-0012036,,,,,,,,,,,,
REG-0012037,,,,,,,,,,,,
REG-0012038,,,0.02,,,,,,,,,
REG-0012039,,,0.03,,,,,,,,,
REG-0012040,,,,,,,,,,,,
REG-0012041,,,,,,,,,,,,
REG-0012042,,,,,,,,,,,,
REG-0012043,,,,,,,,,,,,
REG-0012044,,,,,,,,,,,,
REG-0012045,,,,,,,,,,,,
REG-0012046,,,,,,,,,,,,
REG-0012047,,,,,,,,,,,,
