IdRegistro,IdVariable,Valor
REG-0012001,1,39.2
REG-0012001,2,11.51
REG-0012001,3,5.2
REG-0012001,14,7.06
REG-0012001,4,9.52
REG-0012001,5,1.97
REG-0012001,6,14.45
REG-0012001,7,1.44
REG-0012001,8,1.05
REG-0012001,9,0.36
REG-0012001,10,1.56
REG-0012001,11,0.72
REG-0012001,12,92.43
REG-0012001,13,0.64
REG-0012002,1,39.84
REG-0012002,2,8.69
REG-0012002,3,5.25
REG-0012002,14,7.27
REG-0012002,4,10.35
REG-0012002,5,1.95
REG-0012002,6,14.62
REG-0012002,7,1.29
REG-0012002,8,1.12
REG-0012002,9,0.36
REG-0012002,10,1.73
REG-0012002,11,0.86
REG-0012002,12,83.75
REG-0012002,13,0.49
REG-0012003,1,42.38
REG-0012003,2,10.12
REG-0012003,3,7.57
REG-0012003,14,9.22
REG-0012003,4,9.72
REG-0012003,5,1.34
REG-0012003,6,14.55
REG-0012003,7,1.6
REG-0012003,8,1.25
REG-0012003,9,0.27
REG-0012003,10,1.61
REG-0012003,11,0.67
REG-0012003,12,166.24
REG-0012003,13,0.58
REG-0012004,1,39.84
REG-0012004,2,8.77
REG-0012004,3,4.91
REG-0012004,14,6.94
REG-0012004,4,10.65
REG-0012004,5,1.89
REG-0012004,6,14.39
REG-0012004,7,1.32
REG-0012004,8,1.15
REG-0012004,9,0.37
REG-0012004,10,1.69
REG-0012004,11,0.95
REG-0012004,12,89.25
REG-0012004,13,0.49
REG-0012005,1,43.24
REG-0012005,2,7.63
REG-0012005,3,7.77
REG-0012005,14,9.58
REG-0012005,4,10.04
REG-0012005,5,1.35
REG-0012005,6,15.34
REG-0012005,7,1.71
REG-0012005,8,1.32
REG-0012005,9,0.28
REG-0012005,10,1.58
REG-0012005,11,0.68
REG-0012005,12,169.6
REG-0012005,13,0.44
REG-0012006,1,43.56
REG-0012006,2,6.97
REG-0012006,3,8.26
REG-0012006,14,9.78
REG-0012006,4,9.91
REG-0012006,5,1.68
REG-0012006,6,13.88
REG-0012006,7,1.85
REG-0012006,8,1.31
REG-0012006,9,0.3
REG-0012006,10,1.43
REG-0012006,11,0.57
REG-0012006,12,123.9
REG-0012006,13,0.41
REG-0012007,1,38.98
REG-0012007,2,10.27
REG-0012007,3,5.17
REG-0012007,14,7.12
REG-0012007,4,10.66
REG-0012007,5,1.95
REG-0012007,6,14.1
REG-0012007,7,1.3
REG-0012007,8,1.06
REG-0012007,9,0.35
REG-0012007,10,1.7
REG-0012007,11,0.99
REG-0012007,12,83.58
REG-0012007,13,0.6
REG-0012008,1,43.27
REG-0012008,2,8.14
REG-0012008,3,8.19
REG-0012008,14,9.6
REG-0012008,4,9.77
REG-0012008,5,1.56
REG-0012008,6,13.67
REG-0012008,7,1.89
REG-0012008,8,1.25
REG-0012008,9,0.23
REG-0012008,10,1.35
REG-0012008,11,0.52
REG-0012008,12,134.38
REG-0012008,13,0.36
REG-0012009,1,38.61
REG-0012009,2,10.54
REG-0012009,3,5.25
REG-0012009,14,7.23
REG-0012009,4,10.97
REG-0012009,5,1.94
REG-0012009,6,13.78
REG-0012009,7,1.29
REG-0012009,8,1.05
REG-0012009,9,0.36
REG-0012009,10,1.69
REG-0012009,11,1.09
REG-0012009,12,80.88
REG-0012009,13,0.58
REG-0012010,1,42.93
REG-0012010,2,8.57
REG-0012010,3,8.21
REG-0012010,14,9.77
REG-0012010,4,9.67
REG-0012010,5,1.54
REG-0012010,6,13.26
REG-0012010,7,1.99
REG-0012010,8,1.24
REG-0012010,9,0.22
REG-0012010,10,1.33
REG-0012010,11,0.51
REG-0012010,12,133.86
REG-0012010,13,0.54
REG-0012011,1,38.47
REG-0012011,2,10.48
REG-0012011,3,4.87
REG-0012011,14,6.97
REG-0012011,4,10.76
REG-0012011,5,2.0
REG-0012011,6,14.1
REG-0012011,7,1.39
REG-0012011,8,1.07
REG-0012011,9,0.34
REG-0012011,10,1.7
REG-0012011,11,0.97
REG-0012011,12,83.24
REG-0012011,13,0.6
REG-0012012,1,42.55
REG-0012012,2,8.75
REG-0012012,3,7.61
REG-0012012,14,9.05
REG-0012012,4,9.95
REG-0012012,5,1.45
REG-0012012,6,13.8
REG-0012012,7,2.0
REG-0012012,8,1.22
REG-0012012,9,0.24
REG-0012012,10,1.34
REG-0012012,11,0.55
REG-0012012,12,142.19
REG-0012012,13,0.5
REG-0012013,1,38.86
REG-0012013,2,10.83
REG-0012013,3,5.17
REG-0012013,14,7.25
REG-0012013,4,10.31
REG-0012013,5,1.97
REG-0012013,6,14.12
REG-0012013,7,1.33
REG-0012013,8,1.03
REG-0012013,9,0.3
REG-0012013,10,1.66
REG-0012013,11,0.9
REG-0012013,12,86.34
REG-0012013,13,0.6
REG-0012014,1,42.47
REG-0012014,2,7.81
REG-0012014,3,5.57
REG-0012014,14,7.3
REG-0012014,4,10.48
REG-0012014,5,1.93
REG-0012014,6,13.37
REG-0012014,7,1.78
REG-0012014,8,1.24
REG-0012014,9,0.35
REG-0012014,10,1.52
REG-0012014,11,0.77
REG-0012014,12,116.03
REG-0012014,13,0.38
REG-0012015,1,42.24
REG-0012015,2,9.05
REG-0012015,3,7.17
REG-0012015,14,8.65
REG-0012015,4,9.92
REG-0012015,5,1.56
REG-0012015,6,13.59
REG-0012015,7,1.9
REG-0012015,8,1.21
REG-0012015,9,0.24
REG-0012015,10,1.38
REG-0012015,11,0.63
REG-0012015,12,144.28
REG-0012015,13,0.51
REG-0012016,1,38.2
REG-0012016,2,10.74
REG-0012016,3,5.14
REG-0012016,14,7.12
REG-0012016,4,11.16
REG-0012016,5,1.93
REG-0012016,6,13.54
REG-0012016,7,1.33
REG-0012016,8,1.04
REG-0012016,9,0.34
REG-0012016,10,1.63
REG-0012016,11,1.09
REG-0012016,12,84.68
REG-0012016,13,0.59
REG-0012017,1,42.35
REG-0012017,2,7.7
REG-0012017,3,7.85
REG-0012017,14,9.26
REG-0012017,4,10.09
REG-0012017,5,1.4
REG-0012017,6,14.13
REG-0012017,7,2.15
REG-0012017,8,1.21
REG-0012017,9,0.3
REG-0012017,10,1.34
REG-0012017,11,0.66
REG-0012017,12,145.99
REG-0012017,13,0.35
REG-0012018,1,37.65
REG-0012018,2,10.57
REG-0012018,3,5.99
REG-0012018,14,7.88
REG-0012018,4,11.02
REG-0012018,5,1.99
REG-0012018,6,13.67
REG-0012018,7,1.32
REG-0012018,8,1.03
REG-0012018,9,0.34
REG-0012018,10,1.68
REG-0012018,11,1.02
REG-0012018,12,87.6
REG-0012018,13,0.58
REG-0012019,1,40.71
REG-0012019,2,7.33
REG-0012019,3,8.43
REG-0012019,14,9.91
REG-0012019,4,9.85
REG-0012019,5,1.13
REG-0012019,6,16.6
REG-0012019,7,2.03
REG-0012019,8,1.2
REG-0012019,9,0.39
REG-0012019,10,1.3
REG-0012019,11,0.67
REG-0012019,12,147.38
REG-0012019,13,0.36
REG-0012020,1,38.49
REG-0012020,2,10.89
REG-0012020,3,6.16
REG-0012020,14,8.12
REG-0012020,4,10.34
REG-0012020,5,1.99
REG-0012020,6,13.37
REG-0012020,7,1.3
REG-0012020,8,0.98
REG-0012020,9,0.29
REG-0012020,10,1.65
REG-0012020,11,0.95
REG-0012020,12,80.59
REG-0012020,13,0.58
REG-0012021,1,42.76
REG-0012021,2,7.51
REG-0012021,3,8.05
REG-0012021,14,9.53
REG-0012021,4,9.97
REG-0012021,5,1.38
REG-0012021,6,14.08
REG-0012021,7,2.14
REG-0012021,8,1.22
REG-0012021,9,0.3
REG-0012021,10,1.31
REG-0012021,11,0.58
REG-0012021,12,138.95
REG-0012021,13,0.4
REG-0012022,1,38.02
REG-0012022,2,10.38
REG-0012022,3,6.12
REG-0012022,14,8.04
REG-0012022,4,11.13
REG-0012022,5,1.92
REG-0012022,6,13.67
REG-0012022,7,1.36
REG-0012022,8,1.04
REG-0012022,9,0.32
REG-0012022,10,1.69
REG-0012022,11,1.08
REG-0012022,12,86.31
REG-0012022,13,0.56
