IdRegistro,Proceso,Tamano,Fecha,IdTurno,IdIngeniero,IdTecnico,IdProducto,IdLinea,Hora,Lote,FechaProduccion,IdEtapa,TolvaPorEnvasar,CantidadBolsas,Toneladas,CodigoQM,IdDisenoProducto,IdAutorizador,VerEspTecnica,VerEtiqueta,VerFormula,Agrupador
REG-0012001,Extruido,"0,8",1/1/2026,1,,6,77,8,10:00:00,PE260101A0,01/01/26,1.0,,226,5.65,40000482596,616,1.0,,,256,HD14257
REG-0012002,Extruido,"0,8",1/2/2026,1,,6,77,8,14:45:00,PE260102A0,02/01/26,2.0,,0,0.0,,616,,,,256,HD14257
REG-0012003,Extruido,"0,8",1/2/2026,1,,6,79,9,14:46:00,PE260102B0,02/01/26,2.0,,0,0.0,,618,,,,160,HD14387
REG-0012004,Extruido,"0,8",1/2/2026,1,,6,77,8,16:50:00,PE260102A0,02/01/26,1.0,,462,11.55,40000482597,616,1.0,,,256,HD14257
REG-0012005,Extruido,"0,8",1/2/2026,1,,6,79,9,16:50:00,PE260102B0,02/01/26,1.0,,170,4.25,40000482598,618,1.0,,,160,HD14387
REG-0012006,Extruido,"0,8",1/2/2026,1,,6,80,9,18:00:00,PE260102B0,02/01/26,2.0,,0,0.0,,619,,,,11,HD14399
REG-0012007,Extruido,"0,8",1/2/2026,2,,2,77,8,19:40:00,PE260102A0,02/01/26,2.0,,0,0.0,,616,,,,256,HD14257
REG-0012008,Extruido,"0,8",1/2/2026,2,,2,80,9,19:40:00,PE260102B0,02/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012009,Extruido,"0,8",1/2/2026,2,,2,77,8,21:20:00,PE260102A0,02/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012010,Extruido,"0,8",1/2/2026,2,,2,80,9,21:20:00,PE260102B0,02/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012011,Extruido,"0,8",1/2/2026,2,,2,77,8,23:20:00,PE260102A0,02/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012012,Extruido,"0,8",1/2/2026,2,,2,80,9,23:20:00,PE260102B0,02/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012013,Extruido,"0,8",1/2/2026,2,,2,77,8,05:00:00,PE260102A0,02/01/26,1.0,,1056,26.4,40000482713,616,1.0,,,256,HD14257
REG-0012014,Extruido,"0,8",1/2/2026,2,,2,80,9,05:00:00,PE260102B0,02/01/26,1.0,,700,17.5,40000482714-40000482716,619,1.0,,,11,HD14399
REG-0012015,Extruido,"0,8",1/3/2026,1,,6,80,9,08:25:00,PE260103B0,03/01/26,2.0,,0,0.0,,619,,,,11,HD14399
REG-0012016,Extruido,"0,8",1/3/2026,1,,6,77,8,10:30:00,PE260103A0,03/01/26,2.0,,0,0.0,,616,,,,256,HD14257
REG-0012017,Extruido,"0,8",1/3/2026,1,,6,80,9,10:35:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012018,Extruido,"0,8",1/3/2026,1,,6,77,8,12:50:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012019,Extruido,"0,8",1/3/2026,1,,6,80,9,12:55:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012020,Extruido,"0,8",1/3/2026,1,,6,77,8,15:05:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012021,Extruido,"0,8",1/3/2026,1,,6,80,9,15:08:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012022,Extruido,"0,8",1/3/2026,1,,6,77,8,17:20:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012023,Extruido,"0,8",1/3/2026,1,,6,80,9,17:22:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012024,Extruido,"0,8",1/3/2026,1,,6,77,8,17:40:00,PE260103A0,03/01/26,1.0,,1056,26.4,40000482719,616,1.0,,,256,HD14257
REG-0012025,Extruido,"0,8",1/3/2026,1,,6,80,9,17:40:00,PE260103B0,03/01/26,1.0,,726,18.15,40000482720,619,1.0,,,11,HD14399
REG-0012026,Extruido,"0,8",1/3/2026,2,,1,77,8,19:45:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012027,Extruido,"0,8",1/3/2026,2,,1,80,9,19:45:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012028,Extruido,"0,8",1/3/2026,2,,1,77,8,21:30:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012029,Extruido,"0,8",1/3/2026,2,,1,80,9,21:30:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012030,Extruido,"0,8",1/3/2026,2,,1,77,8,23:30:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012031,Extruido,"0,8",1/3/2026,2,,1,80,9,23:30:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012032,Extruido,"0,8",1/3/2026,2,,1,77,8,01:30:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012033,Extruido,"0,8",1/3/2026,2,,1,80,9,01:30:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
REG-0012034,Extruido,"0,8",1/3/2026,2,,1,77,8,03:30:00,PE260103A0,03/01/26,3.0,,0,0.0,,616,,,,256,HD14257
REG-0012035,Extruido,"0,8",1/3/2026,2,,1,80,9,03:30:00,PE260103B0,03/01/26,3.0,,0,0.0,,619,,,,11,HD14399
