IdRegistro,IdVariable,Valor
REG-0025262,1,42.1
REG-0025262,2,9.64
REG-0025262,3,8.12
REG-0025262,14,9.78
REG-0025262,4,9.91
REG-0025262,5,1.94
REG-0025262,6,12.06
REG-0025262,7,1.86
REG-0025262,8,1.18
REG-0025262,9,0.29
REG-0025262,10,1.46
REG-0025262,11,0.57
REG-0025262,12,116.28
REG-0025262,13,0.56
REG-0025263,1,43.29
REG-0025263,2,8.29
REG-0025263,3,7.58
REG-0025263,14,9.43
REG-0025263,4,10.22
REG-0025263,5,1.86
REG-0025263,6,12.54
REG-0025263,7,1.82
REG-0025263,8,1.22
REG-0025263,9,0.25
REG-0025263,10,1.55
REG-0025263,11,0.56
REG-0025263,12,117.11
REG-0025263,13,0.48
REG-0025264,1,43.2
REG-0025264,2,9.3
REG-0025264,3,6.4
REG-0025264,14,8.16
REG-0025264,4,10.15
REG-0025264,5,1.73
REG-0025264,6,12.94
REG-0025264,7,1.89
REG-0025264,8,1.26
REG-0025264,9,0.23
REG-0025264,10,1.48
REG-0025264,11,0.58
REG-0025264,12,123.11
REG-0025264,13,0.54
REG-0025265,1,42.94
REG-0025265,2,9.65
REG-0025265,3,7.05
REG-0025265,14,8.66
REG-0025265,4,10.26
REG-0025265,5,1.72
REG-0025265,6,13.23
REG-0025265,7,2.04
REG-0025265,8,1.31
REG-0025265,9,0.22
REG-0025265,10,1.45
REG-0025265,11,0.55
REG-0025265,12,123.84
REG-0025265,13,0.56
REG-0025266,1,42.89
REG-0025266,2,9.19
REG-0025266,3,8.31
REG-0025266,14,9.91
REG-0025266,4,9.85
REG-0025266,5,1.55
REG-0025266,6,12.7
REG-0025266,7,1.88
REG-0025266,8,1.21
REG-0025266,9,0.2
REG-0025266,10,1.43
REG-0025266,11,0.55
REG-0025266,12,123.34
REG-0025266,13,0.54
REG-0025267,1,42.58
REG-0025267,2,9.31
REG-0025267,3,8.34
REG-0025267,14,9.97
REG-0025267,4,9.89
REG-0025267,5,1.68
REG-0025267,6,12.99
REG-0025267,7,1.91
REG-0025267,8,1.22
REG-0025267,9,0.21
REG-0025267,10,1.46
REG-0025267,11,0.52
REG-0025267,12,128.5
REG-0025267,13,0.54
REG-0025268,1,44.27
REG-0025268,2,7.95
REG-0025268,3,6.18
REG-0025268,14,8.11
REG-0025268,4,10.32
REG-0025268,5,1.84
REG-0025268,6,12.62
REG-0025268,7,1.82
REG-0025268,8,1.29
REG-0025268,9,0.26
REG-0025268,10,1.53
REG-0025268,11,0.57
REG-0025268,12,122.2
REG-0025268,13,0.48
REG-0025269,1,42.67
REG-0025269,2,9.37
REG-0025269,3,7.8
REG-0025269,14,9.62
REG-0025269,4,10.07
REG-0025269,5,1.7
REG-0025269,6,12.34
REG-0025269,7,1.82
REG-0025269,8,1.24
REG-0025269,9,0.18
REG-0025269,10,1.46
REG-0025269,11,0.53
