IdRegistro,IdRango,Valor
REG-0025262,118,0.28
REG-0025262,119,0.1
REG-0025262,120,0.6
REG-0025262,121,2.98
REG-0025262,122,25.22
REG-0025262,123,59.68
REG-0025262,124,10.91
REG-0025262,125,0.16
REG-0025262,126,0.03
REG-0025262,127,0.02
REG-0025262,128,0.02
REG-0025263,118,0.11
REG-0025263,119,0.16
REG-0025263,120,0.52
REG-0025263,121,1.39
REG-0025263,122,7.36
REG-0025263,123,58.39
REG-0025263,124,31.33
REG-0025263,125,0.6
REG-0025263,126,0.09
REG-0025263,127,0.01
REG-0025263,128,0.04
REG-0025264,118,0.18
REG-0025264,119,0.2
REG-0025264,120,0.79
REG-0025264,121,1.77
REG-0025264,122,7.66
REG-0025264,123,58.78
REG-0025264,124,30.21
REG-0025264,125,0.38
REG-0025264,126,0.01
REG-0025264,127,0.01
REG-0025264,128,0.01
REG-0025265,118,0.25
REG-0025265,119,0.2
REG-0025265,120,0.83
REG-0025265,121,2.31
REG-0025265,122,7.75
REG-0025265,123,56.25
REG-0025265,124,31.87
REG-0025265,125,0.51
REG-0025265,126,0.01
REG-0025265,127,0.01
REG-0025265,128,0.01
REG-0025266,118,0.21
REG-0025266,119,0.22
REG-0025266,120,1.18
REG-0025266,121,5.72
REG-0025266,122,20.94
REG-0025266,123,52.33
REG-0025266,124,18.97
REG-0025266,125,0.42
REG-0025266,126,0.01
REG-0025266,127,0
REG-0025266,128,0
REG-0025267,118,0.24
REG-0025267,119,0.24
REG-0025267,120,1.69
REG-0025267,121,6.83
REG-0025267,122,26.26
REG-0025267,123,48.77
REG-0025267,124,15.5
REG-0025267,125,0.42
REG-0025267,126,0.01
REG-0025267,127,0.02
REG-0025267,128,0.02
REG-0025268,118,0.29
REG-0025268,119,0.14
REG-0025268,120,0.78
REG-0025268,121,1.93
REG-0025268,122,9.2
REG-0025268,123,60.42
REG-0025268,124,26.93
REG-0025268,125,0.29
REG-0025268,126,0.01
REG-0025268,127,0.01
REG-0025268,128,0
REG-0025269,118,0.47
REG-0025269,119,0.41
REG-0025269,120,2.21
REG-0025269,121,8.63
REG-0025269,122,25.78
REG-0025269,123,47.4
REG-0025269,124,14.62
REG-0025269,125,0.46
REG-0025269,126,0.02
REG-0025269,127,0
REG-0025269,128,0
REG-0025270,118,0.27
REG-0025270,119,0.33
REG-0025270,120,2.06
REG-0025270,121,7.86
REG-0025270,122,23.67
REG-0025270,123,46.75
REG-0025270,124,18.11
REG-0025270,125,20:38
REG-0025270,126,0.09
REG-0025270,127,0
REG-0025270,128,0
REG-0025271,118,0.41
REG-0025271,119,0.47
REG-0025271,120,2.88
REG-0025271,121,8.5
REG-0025271,122,22.75
REG-0025271,123,43.1
REG-0025271,124,20.32
REG-0025271,125,1.5
REG-0025271,126,0.06
REG-0025271,127,0.01
REG-0025271,128,0
REG-0025272,118,0.17
REG-0025272,119,0.25
REG-0025272,120,1.54
REG-0025272,121,5.67
REG-0025272,122,17.23
REG-0025272,123,47.33
REG-0025272,124,26.21
REG-0025272,125,1.52
REG-0025272,126,0.07
REG-0025272,127,0.01
REG-0025272,128,0
REG-0025273,118,0.44
REG-0025273,119,0.31
REG-0025273,120,2.04
REG-0025273,121,6.46
REG-0025273,122,20.43
REG-0025273,123,45.47
REG-0025273,124,23.42
REG-0025273,125,1.37
REG-0025273,126,0.05
REG-0025273,127,0.01
REG-0025273,128,0
REG-0025274,118,0.18
REG-0025274,119,0.21
REG-0025274,120,1.62
REG-0025274,121,5.63
REG-0025274,122,17.63
REG-0025274,123,44.95
REG-0025274,124,27.91
REG-0025274,125,1.81
REG-0025274,126,0.04
REG-0025274,127,0.02
REG-0025274,128,0
REG-0025275,118,0.21
REG-0025275,119,0.21
REG-0025275,120,1.28
REG-0025275,121,4.81
REG-0025275,122,16.18
REG-0025275,123,45.19
REG-0025275,124,30.21
REG-0025275,125,1.83
REG-0025275,126,0.07
REG-0025275,127,0.01
REG-0025275,128,0
REG-0025276,118,0.1
REG-0025276,119,0.2
REG-0025276,120,1.44
REG-0025276,121,3.28
REG-0025276,122,16.23
REG-0025276,123,50.21
REG-0025276,124,27.99
REG-0025276,125,0.53
REG-0025276,126,0.01
REG-0025276,127,0.01
