IdRegistro,NroParticulas,Peso,ParticulasPorGramo
REG-0012001,63.0,0.045,1400
REG-0012002,50.0,0.032,1563
REG-0012003,38.0,0.031,1226
REG-0012004,54.0,0.034,1588
REG-0012005,44.0,0.035,1257
REG-0012006,50.0,0.039,1282
REG-0012007,50.0,0.034,1471
REG-0012008,48.0,0.036,1333
REG-0012009,40.0,0.034,1176
REG-0012010,38.0,0.035,1086
REG-0012011,38.0,0.034,1118
REG-0012012,42.0,0.032,1313
REG-0012013,56.0,0.037,1514
REG-0012014,66.0,0.046,1435
REG-0012015,65.0,0.054,1204
REG-0012016,76.0,0.046,1652
REG-0012017,63.0,0.045,1400
REG-0012018,80.0,0.055,1455
REG-0012019,48.0,0.044,1091
REG-0012020,60.0,0.051,1176
REG-0012021,67.0,0.063,1063
REG-0012022,80.0,0.074,1081
REG-0012023,61.0,0.055,1109
REG-0012024,70.0,0.046,1522
REG-0012025,63.0,0.055,1145
REG-0012026,46.0,0.056,821
REG-0012027,72.0,0.058,1241
REG-0012028,43.0,0.031,1387
REG-0012029,60.0,0.052,1154
REG-0012030,66.0,0.058,1138
REG-0012031,70.0,0.056,1250
REG-0012032,46.0,0.038,1211
REG-0012033,54.0,0.038,1421
REG-0012034,31.0,0.031,1000
REG-0012035,45.0,0.037,1216
REG-0012036,35.0,0.03,1167
REG-0012037,41.0,0.031,1323
REG-0012038,40.0,0.033,1212
REG-0012039,42.0,0.033,1273
REG-0012040,46.0,0.041,1122
REG-0012041,43.0,0.034,1265
REG-0012042,27.0,0.025,1080
REG-0012043,36.0,0.027,1333
REG-0012044,43.0,0.035,1229
REG-0012045,34.0,0.031,1097
REG-0012046,38.0,0.033,1152
REG-0012047,44.0,0.047,936
REG-0012048,47.0,0.041,1146
REG-0012049,40.0,0.04,1000
REG-0012050,62.0,0.05,1240
REG-0012051,41.0,0.041,1000
REG-0012052,76.0,0.058,1310
REG-0012053,32.0,0.02,1600
REG-0012054,32.0,0.029,1103
REG-0012055,72.0,0.048,1500
REG-0012056,76.0,0.072,1056
REG-0012057,41.0,0.039,1051
REG-0012058,45.0,0.036,1250
REG-0012059,45.0,0.043,1047
REG-0012060,60.0,0.046,1304
REG-0012061,32.0,0.034,941
REG-0012062,37.0,0.032,1156
REG-0012063,36.0,0.042,857
REG-0012064,68.0,0.056,1214
REG-0012065,53.0,0.038,1395
REG-0012066,60.0,0.047,1277
REG-0012067,38.0,0.033,1152
REG-0012068,40.0,0.034,1176
REG-0012069,40.0,0.034,1176
REG-0012070,55.0,0.03,1833
REG-0012071,55.0,0.038,1447
REG-0012072,78.0,0.04,1950
REG-0012073,38.0,0.032,1188
REG-0012074,40.0,0.03,1333
REG-0012075,34.0,0.032,1063
REG-0012076,72.0,0.05,1440
REG-0012077,36.0,0.036,1000
REG-0012078,64.0,0.052,1231
REG-0012079,45.0,0.036,1250
REG-0012080,41.0,0.027,1519
REG-0012081,37.0,0.031,1194
REG-0012082,48.0,0.044,1091
REG-0012083,54.0,0.042,1286
REG-0012084,54.0,0.04,1350
REG-0012085,49.0,0.037,1324
REG-0012086,51.0,0.044,1159
REG-0012087,55.0,0.045,1222
REG-0012088,83.0,0.06,1383
REG-0012089,68.0,0.049,1388
REG-0012090,66.0,0.055,1200
REG-0012091,80.0,0.058,1379
REG-0012092,38.0,0.03,1267
REG-0012093,45.0,0.03,1500
REG-0012094,55.0,0.034,1618
REG-0012095,44.0,0.032,1375
REG-0012096,43.0,0.042,1024
REG-0012097,55.0,0.054,1019
REG-0012098,54.0,0.034,1588
REG-0012099,60.0,0.032,1875
REG-0012100,68.0,0.034,2000
REG-0012101,65.0,0.04,1625
REG-0012102,68.0,0.035,1943
REG-0012103,51.0,0.043,1186
REG-0012104,48.0,0.044,1091
REG-0012105,69.0,0.059,1169
REG-0012106,63.0,0.057,1105
REG-0012107,56.0,0.047,1191
REG-0012108,59.0,0.05,1180
REG-0012109,53.0,0.051,1039
REG-0012110,55.0,0.055,1000
REG-0012111,50.0,0.044,1136
REG-0012112,76.0,0.063,1206
REG-0012113,63.0,0.063,1000
REG-0012114,41.0,0.036,1139
REG-0012115,67.0,0.059,1136
