IdRegistro,IdRango,Valor
REG-0012001,152,0.03
REG-0012001,153,0.19
REG-0012001,154,0.27
REG-0012001,155,0.48
REG-0012001,156,12.78
REG-0012001,157,76.03
REG-0012001,158,9.04
REG-0012001,159,0.39
REG-0012001,160,0.79
REG-0012002,152,0.13
REG-0012002,153,0.28
REG-0012002,154,0.47
REG-0012002,155,0.76
REG-0012002,156,13.64
REG-0012002,157,71.24
REG-0012002,158,12.78
REG-0012002,159,0.36
REG-0012002,160,0.34
REG-0012003,152,0.01
REG-0012003,153,0.28
REG-0012003,154,0.06
REG-0012003,155,0.28
REG-0012003,156,3.37
REG-0012003,157,54.35
REG-0012003,158,30.35
REG-0012003,159,6.94
REG-0012003,160,4.36
REG-0012004,152,0.36
REG-0012004,153,1.73
REG-0012004,154,1.08
REG-0012004,155,2.31
REG-0012004,156,34.99
REG-0012004,157,51.59
REG-0012004,158,4.97
REG-0012004,159,1.21
REG-0012004,160,1.76
REG-0012005,152,0.19
REG-0012005,153,0.67
REG-0012005,154,0.62
REG-0012005,155,0.78
REG-0012005,156,5.87
REG-0012005,157,34.19
REG-0012005,158,32.15
REG-0012005,159,13.39
REG-0012005,160,12.14
REG-0012006,152,0.07
REG-0012006,153,0.28
REG-0012006,154,0.29
REG-0012006,155,0.45
REG-0012006,156,4.34
REG-0012006,157,49.01
REG-0012006,158,39.16
REG-0012006,159,5.6
REG-0012006,160,0.8
REG-0012007,152,0.01
REG-0012007,153,0.19
REG-0012007,154,0.3
REG-0012007,155,0.6
REG-0012007,156,9.68
REG-0012007,157,52.82
REG-0012007,158,31.34
REG-0012007,159,4
REG-0012007,160,1.06
REG-0012008,152,0.01
REG-0012008,153,0.07
REG-0012008,154,0.09
REG-0012008,155,0.21
REG-0012008,156,4.14
REG-0012008,157,56.15
REG-0012008,158,35.03
REG-0012008,159,3.65
REG-0012008,160,0.65
REG-0012009,152,0.01
REG-0012009,153,0
REG-0012009,154,0
REG-0012009,155,0.13
REG-0012009,156,3.39
REG-0012009,157,22.96
REG-0012009,158,34.42
REG-0012009,159,16.79
REG-0012009,160,22.3
REG-0012010,152,0.01
REG-0012010,153,0.3
REG-0012010,154,0.07
REG-0012010,155,0.32
REG-0012010,156,3.81
REG-0012010,157,56.91
REG-0012010,158,35.32
REG-0012010,159,3.04
REG-0012010,160,0.22
REG-0012011,152,0.01
REG-0012011,153,0.05
REG-0012011,154,0.3
REG-0012011,155,0.47
REG-0012011,156,5.8
REG-0012011,157,36.82
REG-0012011,158,39.92
REG-0012011,159,10.99
REG-0012011,160,5.64
REG-0012012,152,0.19
REG-0012012,153,0.25
REG-0012012,154,0.21
REG-0012012,155,0.37
REG-0012012,156,2.37
REG-0012012,157,36.89
REG-0012012,158,45.4
REG-0012012,159,9.68
REG-0012012,160,4.64
REG-0012013,152,0.02
REG-0012013,153,0.14
REG-0012013,154,0.1
REG-0012013,155,0.33
REG-0012013,156,5.45
REG-0012013,157,46.74
REG-0012013,158,38.91
REG-0012013,159,6.34
REG-0012013,160,1.97
REG-0012014,152,0.07
REG-0012014,153,0.09
REG-0012014,154,0.12
REG-0012014,155,0.5
REG-0012014,156,9.97
REG-0012014,157,55.8
REG-0012014,158,26.85
REG-0012014,159,4.4
REG-0012014,160,2.2
REG-0012015,152,0.15
REG-0012015,153,0.54
REG-0012015,154,0.23
REG-0012015,155,0.27
REG-0012015,156,2.41
REG-0012015,157,37.5
REG-0012015,158,45.79
REG-0012015,159,12.08
REG-0012015,160,1.03
REG-0012016,152,0.03
REG-0012016,153,0.02
REG-0012016,154,0.21
REG-0012016,155,0.86
REG-0012016,156,7.26
REG-0012016,157,79.51
REG-0012016,158,11.3
