IdRegistro,Vol1,Vol2,DiferenciaVolumen,Peso,DensidadEspecifica
REG-0012001,50,74.0,24.0,30,1.25
REG-0012002,50,73.8,23.8,30,1.26
REG-0012003,50,74.0,24.0,30,1.25
REG-0012004,50,73.5,23.5,30,1.28
REG-0012005,50,74.0,24.0,30,1.25
REG-0012006,50,74.8,24.8,30,1.21
REG-0012007,50,74.0,24.0,30,1.25
REG-0012008,50,73.5,23.5,30,1.28
REG-0012009,50,74.0,24.0,30,1.25
REG-0012010,50,74.0,24.0,30,1.25
REG-0012011,50,73.4,23.4,30,1.28
REG-0012012,50,73.4,23.4,30,1.28
REG-0012013,50,73.5,23.5,30,1.28
REG-0012014,50,74.0,24.0,30,1.25
REG-0012015,50,74.0,24.0,30,1.25
REG-0012016,50,73.7,23.7,30,1.27
REG-0012017,50,74.5,24.5,30,1.22
REG-0012018,50,73.9,23.9,30,1.26
REG-0012019,50,74.2,24.2,30,1.24
REG-0012020,50,73.9,23.9,30,1.26
REG-0012021,50,74.8,24.8,30,1.21
REG-0012022,50,73.9,23.9,30,1.26
REG-0012023,50,74.3,24.3,30,1.23
REG-0012024,50,73.9,23.9,30,1.26
REG-0012025,50,74.4,24.4,30,1.23
REG-0012026,50,74.0,24.0,30,1.25
REG-0012027,50,74.2,24.2,30,1.24
REG-0012028,50,74.0,24.0,30,1.25
REG-0012029,50,74.2,24.2,30,1.24
REG-0012030,50,74.0,24.0,30,1.25
REG-0012031,50,74.2,24.2,30,1.24
REG-0012032,50,73.9,23.9,30,1.26
REG-0012033,50,74.5,24.5,30,1.22
REG-0012034,50,74.0,24.0,30,1.25
REG-0012035,50,74.9,24.9,30,1.2
REG-0012036,50,74.0,24.0,30,1.25
REG-0012037,50,75.0,25.0,30,1.2
REG-0012038,50,74.0,24.0,30,1.25
REG-0012039,50,74.9,24.9,30,1.2
REG-0012040,50,74.0,24.0,30,1.25
REG-0012041,50,74.5,24.5,30,1.22
REG-0012042,50,73.8,23.8,30,1.26
REG-0012043,50,74.8,24.8,30,1.21
REG-0012044,50,74.2,24.2,30,1.24
REG-0012045,50,73.2,23.2,30,1.29
REG-0012046,50,74.8,24.8,30,1.21
REG-0012047,50,74.3,24.3,30,1.23
REG-0012048,50,74.5,24.5,30,1.22
REG-0012049,50,74.5,24.5,30,1.22
REG-0012050,50,74.6,24.6,30,1.22
